id,ram,cpu
0,9,10
1,36,24
2,32,35
3,16,14
4,10,44
5,17,2
6,46,24
7,41,8
8,6,34
9,48,40
10,40,28
11,20,39
12,40,34
13,26,2
14,1,8
15,32,6
16,43,36
17,40,33
18,43,45
19,25,5
20,28,16
21,22,34
22,2,19
23,12,13
24,10,19
25,42,40
26,30,26
27,25,47
28,3,40
29,3,38
30,10,30
31,47,39
32,8,16
33,8,24
34,28,37
35,48,32
36,38,12
37,39,14
38,41,25
39,12,42
40,23,12
41,14,41
42,27,40
43,49,1
44,40,14
45,3,21
46,22,3
47,2,14
48,10,49
49,1,11
50,31,33
51,0,35
52,38,3
53,38,43
54,27,43
55,43,29
56,13,29
57,12,26
58,22,8
59,46,8
60,13,35
61,45,15
62,38,9
63,18,0
64,24,32
65,41,45
66,30,13
67,16,44
68,7,47
69,13,48
70,42,28
71,19,42
72,8,38
73,23,7
74,28,22
75,9,4
76,37,32
77,28,9
78,14,37
79,42,42
80,33,35
81,46,6
82,32,38
83,6,1
84,39,15
85,15,48
86,37,48
87,6,39
88,37,0
89,27,23
90,42,49
91,35,6
92,2,18
93,39,6
94,41,33
95,20,31
96,32,22
97,11,1
98,39,49
99,39,6
100,49,42
101,49,9
102,15,29
103,41,19
104,14,23
105,40,46
106,27,4
107,46,27
108,32,2
109,7,16
110,20,18
111,1,20
112,33,21
113,11,7
114,7,44
115,31,44
116,47,20
117,8,22
118,6,7
119,2,41
120,38,16
121,20,9
122,44,20
123,44,39
124,31,0
125,21,37
126,26,6
127,38,12
128,48,13
129,29,16
130,15,40
131,10,2
132,1,3
133,36,41
134,21,1
135,18,25
136,22,28
137,22,15
138,29,25
139,29,24
140,40,1
141,3,45
142,36,17
143,28,46
144,48,47
145,23,40
146,30,41
147,31,16
148,29,7
149,37,43
150,28,37
151,6,15
152,23,38
153,9,20
154,42,29
155,11,9
156,44,15
157,25,34
158,44,38
159,9,43
160,2,44
161,3,31
162,14,37
163,7,7
164,23,8
165,24,26
166,43,40
167,14,11
168,29,18
169,19,11
170,26,22
171,40,35
172,8,14
173,5,46
174,27,11
175,20,47
176,9,40
177,16,48
178,43,37
179,14,0
180,42,30
181,11,10
182,16,2
183,44,4
184,1,8
185,33,7
186,36,33
187,26,35
188,35,4
189,13,6
190,27,27
191,29,3
192,15,41
193,36,32
194,41,6
195,34,39
196,26,47
197,44,46
198,34,39
199,9,21
200,1,25
201,20,0
202,6,25
203,21,28
204,46,45
205,28,43
206,38,49
207,21,2
208,26,29
209,49,49
210,33,48
211,25,35
212,17,28
213,31,39
214,45,9
215,43,6
216,49,29
217,31,42
218,7,42
219,33,48
220,17,46
221,3,4
222,27,25
223,10,48
224,45,20
225,23,43
226,38,42
227,29,23
228,13,37
229,25,1
230,41,27
231,18,8
232,35,21
233,16,24
234,33,16
235,19,12
236,29,9
237,25,30
238,30,46
239,40,49
240,30,23
241,5,16
242,6,31
243,27,40
244,45,38
245,16,13
246,8,43
247,44,3
248,30,24
249,42,11
250,18,47
251,7,43
252,6,34
253,13,10
254,39,3
255,4,32
256,24,44
257,28,37
258,35,49
259,47,12
260,39,31
261,45,15
262,25,1
263,20,18
264,35,49
265,21,26
266,15,47
267,1,7
268,29,49
269,17,14
270,21,12
271,33,37
272,46,27
273,2,48
274,47,31
275,47,38
276,47,45
277,37,11
278,20,13
279,44,23
280,28,25
281,15,10
282,28,28
283,49,23
284,34,34
285,29,1
286,48,17
287,2,11
288,38,32
289,17,29
290,11,23
291,30,3
292,40,3
293,31,39
294,6,28
295,35,23
296,16,30
297,9,5
298,45,1
299,34,32
300,12,7
301,33,18
302,38,18
303,3,24
304,28,37
305,31,7
306,43,10
307,25,41
308,42,1
309,45,11
310,24,22
311,23,22
312,20,45
313,7,17
314,17,26
315,13,1
316,20,30
317,10,6
318,31,42
319,4,19
320,42,7
321,47,32
322,28,28
323,34,10
324,21,9
325,22,18
326,18,8
327,22,37
328,7,46
329,7,7
330,6,49
331,40,15
332,25,42
333,32,37
334,11,48
335,42,11
336,12,12
337,2,29
338,16,43
339,2,31
340,16,33
341,2,12
342,2,33
343,28,47
344,21,22
345,21,36
346,46,11
347,21,30
348,11,41
349,27,29
350,4,22
351,27,5
352,46,28
353,32,15
354,36,45
355,38,36
356,11,11
357,38,37
358,41,16
359,46,15
360,25,27
361,16,43
362,2,29
363,11,30
364,47,11
365,12,21
366,37,36
367,45,23
368,12,35
369,17,49
370,36,29
371,4,14
372,22,36
373,23,23
374,5,46
375,35,41
376,14,1
377,36,7
378,25,11
379,47,37
380,29,20
381,7,12
382,33,45
383,18,13
384,6,16
385,46,10
386,25,19
387,3,37
388,23,43
389,21,21
390,16,31
391,17,21
392,45,45
393,26,7
394,46,2
395,49,17
396,30,30
397,34,47
398,14,3
399,3,49
400,30,10
401,18,48
402,16,3
403,18,36
404,15,33
405,19,49
406,32,35
407,30,22
408,1,34
409,21,9
410,22,13
411,41,24
412,40,21
413,3,30
414,32,4
415,10,38
416,1,27
417,33,10
418,29,10
419,4,19
420,35,42
421,16,40
422,44,22
423,44,34
424,21,8
425,23,6
426,14,7
427,1,6
428,18,23
429,12,1
430,8,31
431,33,20
432,19,7
433,15,45
434,4,31
435,13,49
436,27,47
437,22,8
438,45,19
439,12,13
440,28,16
441,18,8
442,6,2
443,12,34
444,49,34
445,3,11
446,13,37
447,21,20
448,44,34
449,48,29
450,46,7
451,25,14
452,4,8
453,41,24
454,44,24
455,38,32
456,8,4
457,39,22
458,13,10
459,29,35
460,12,36
461,17,42
462,36,47
463,36,1
464,16,16
465,14,39
466,32,48
467,28,23
468,28,26
469,18,38
470,5,36
471,13,9
472,19,49
473,36,18
474,37,29
475,6,48
476,5,48
477,15,2
478,46,23
479,25,15
480,41,29
481,32,2
482,13,20
483,46,16
484,37,6
485,25,44
486,0,8
487,21,2
488,14,38
489,7,17
490,12,43
491,27,33
492,39,29
493,17,20
494,33,31
495,23,28
496,22,36
497,43,27
498,20,29
499,43,36
500,9,48
501,33,27
502,5,25
503,25,42
504,38,1
505,23,9
506,36,2
507,13,16
508,29,6
509,4,18
510,42,15
511,13,24
512,47,40
513,31,33
514,33,15
515,25,8
516,19,48
517,26,5
518,7,49
519,33,9
520,40,35
521,20,39
522,28,30
523,14,1
524,12,39
525,36,23
526,29,16
527,49,39
528,7,41
529,38,2
530,9,3
531,25,21
532,38,7
533,43,20
534,1,46
535,16,48
536,1,12
537,20,21
538,3,27
539,13,5
540,20,21
541,49,1
542,29,31
543,9,12
544,2,23
545,23,5
546,25,21
547,27,41
548,26,0
549,16,19
550,37,6
551,44,7
552,10,31
553,41,9
554,34,49
555,15,32
556,34,0
557,27,44
558,28,25
559,34,10
560,25,22
561,46,22
562,10,13
563,45,28
564,16,17
565,30,32
566,27,39
567,12,31
568,33,45
569,45,16
570,44,42
571,14,4
572,21,10
573,15,15
574,49,12
575,24,46
576,4,9
577,19,43
578,11,20
579,4,5
580,19,0
581,3,39
582,43,47
583,2,41
584,49,8
585,19,49
586,40,26
587,41,41
588,36,8
589,7,10
590,20,35
591,36,41
592,49,22
593,7,17
594,3,35
595,35,6
596,47,43
597,35,35
598,24,16
599,35,43
600,26,18
601,48,44
602,45,46
603,6,49
604,21,23
605,11,12
606,44,20
607,42,14
608,24,13
609,32,12
610,39,12
611,24,39
612,11,49
613,26,26
614,41,14
615,39,31
616,47,21
617,15,36
618,42,29
619,34,31
620,9,41
621,30,40
622,4,43
623,7,25
624,17,24
625,33,47
626,32,26
627,35,25
628,35,45
629,25,27
630,22,26
631,27,3
632,11,31
633,12,38
634,38,17
635,5,48
636,48,25
637,18,29
638,38,41
639,8,37
640,12,12
641,19,41
642,0,16
643,42,11
644,6,40
645,13,30
646,35,3
647,18,41
648,17,32
649,14,27
650,45,44
651,9,47
652,8,15
653,26,32
654,43,2
655,4,6
656,2,42
657,41,39
658,48,40
659,18,33
660,15,33
661,5,45
662,42,47
663,48,8
664,9,29
665,12,14
666,4,38
667,0,20
668,22,7
669,1,18
670,21,27
671,27,21
672,40,1
673,42,43
674,48,23
675,12,44
676,42,4
677,25,17
678,39,36
679,49,36
680,12,1
681,10,13
682,41,7
683,4,37
684,24,34
685,8,22
686,4,48
687,15,41
688,16,27
689,18,18
690,46,15
691,48,4
692,48,1
693,34,40
694,7,4
695,25,37
696,15,20
697,25,29
698,21,46
699,3,16
700,4,7
701,37,14
702,27,23
703,14,13
704,42,12
705,42,2
706,47,33
707,49,32
708,30,32
709,16,17
710,43,9
711,17,27
712,1,13
713,4,21
714,3,38
715,6,45
716,19,41
717,19,27
718,19,13
719,23,13
720,35,45
721,49,13
722,22,28
723,1,18
724,38,48
725,36,0
726,18,29
727,49,7
728,32,1
729,14,43
730,10,49
731,46,26
732,15,14
733,42,41
734,27,1
735,17,6
736,32,24
737,42,17
738,29,3
739,46,21
740,33,8
741,24,32
742,12,40
743,47,3
744,49,34
745,38,49
746,1,20
747,2,30
748,42,12
749,48,0
750,16,21
751,49,36
752,9,14
753,44,41
754,31,14
755,29,33
756,29,48
757,11,12
758,43,23
759,41,25
760,23,29
761,40,36
762,44,19
763,2,5
764,9,48
765,33,34
766,21,5
767,22,49
768,30,1
769,13,16
770,48,28
771,18,48
772,27,23
773,26,10
774,19,15
775,33,18
776,28,21
777,2,5
778,5,4
779,36,34
780,11,26
781,41,5
782,35,10
783,19,29
784,33,35
785,26,31
786,42,15
787,16,26
788,22,17
789,6,32
790,46,31
791,21,14
792,12,46
793,39,41
794,39,29
795,41,21
796,5,31
797,25,25
798,26,8
799,48,8
800,29,38
801,33,32
802,42,36
803,39,12
804,13,23
805,0,22
806,32,8
807,28,3
808,47,43
809,17,46
810,29,39
811,30,31
812,0,37
813,10,31
814,48,18
815,38,17
816,15,30
817,31,23
818,32,22
819,36,25
820,24,19
821,43,31
822,42,29
823,14,21
824,8,2
825,34,12
826,10,7
827,26,27
828,28,42
829,49,6
830,16,13
831,13,25
832,34,15
833,28,31
834,16,3
835,23,0
836,2,11
837,37,25
838,21,23
839,32,5
840,12,30
841,26,20
842,28,6
843,20,45
844,21,30
845,47,9
846,36,40
847,40,37
848,23,18
849,15,21
850,12,32
851,4,25
852,32,22
853,38,43
854,44,44
855,36,3
856,38,37
857,20,12
858,13,29
859,40,3
860,31,42
861,25,36
862,12,30
863,2,7
864,27,13
865,8,13
866,28,40
867,47,32
868,16,41
869,31,41
870,43,46
871,37,20
872,41,38
873,18,10
874,13,38
875,29,11
876,8,3
877,7,22
878,46,16
879,18,1
880,17,39
881,28,31
882,4,0
883,16,31
884,1,1
885,17,23
886,31,35
887,12,43
888,44,44
889,20,38
890,21,39
891,41,5
892,11,11
893,14,42
894,22,17
895,29,41
896,13,28
897,49,20
898,2,49
899,24,48
900,24,6
901,48,35
902,14,42
903,8,5
904,6,26
905,20,12
906,11,35
907,8,10
908,12,15
909,48,12
910,46,5
911,26,34
912,13,8
913,6,18
914,16,11
915,48,47
916,24,6
917,36,18
918,33,7
919,19,44
920,45,31
921,13,2
922,36,31
923,21,35
924,11,41
925,43,45
926,4,11
927,18,4
928,48,18
929,49,5
930,5,35
931,10,1
932,23,33
933,45,36
934,40,25
935,32,10
936,12,46
937,13,18
938,32,43
939,18,45
940,12,21
941,11,17
942,34,16
943,20,18
944,5,2
945,15,36
946,10,46
947,24,12
948,6,1
949,6,32
950,0,26
951,20,1
952,38,29
953,37,30
954,32,44
955,22,7
956,5,8
957,0,46
958,31,22
959,14,49
960,44,15
961,36,17
962,25,27
963,9,4
964,32,8
965,35,14
966,4,19
967,22,44
968,13,30
969,32,17
970,6,6
971,39,42
972,34,8
973,4,16
974,33,43
975,48,14
976,24,11
